wave,coder,code,name,bes_share,model_share,gap
9,human,48,Coronavirus,0.0,0.00089,-0.00089
9,human,49,Covid-economy,0.0,0.00029,-0.00029
9,human,50,Gender/sexuality/family,0.00024,0.00033,-9e-05
10,human,1,Health,0.05395,0.05424,-0.00029
10,human,2,Education,0.00384,0.00376,8e-05
10,human,3,Election outcome,0.0,0.0007,-0.0007
10,human,4,Pol-neg,0.0155,0.01624,-0.00074
10,human,5,Partisan-neg,0.00846,0.00811,0.00035
10,human,6,Societal divides,0.00333,0.00336,-3e-05
10,human,7,Morals,0.00256,0.00241,0.00016
10,human,8,"Nat ident, goals-loss",0.00179,0.00221,-0.00042
10,human,9,Racism/discrimination,0.00589,0.00615,-0.00025
10,human,10,Welfare,0.00641,0.00676,-0.00035
10,human,11,Terrorism,0.01999,0.01994,5e-05
10,human,12,Immigration,0.14518,0.14464,0.00054
10,human,13,Asylum,0.00115,0.00118,-3e-05
10,human,14,Crime,0.00628,0.0064,-0.00012
10,human,15,Europe,0.50141,0.49932,0.00209
10,human,16,Constitutional,0.00038,0.00063,-0.00025
10,human,17,International trade,0.00154,0.00163,-0.0001
10,human,18,Devolution,0.0,0.00014,-0.00014
10,human,19,Scot-ind,0.005,0.00464,0.00036
10,human,21,Foreign affairs,0.00679,0.00601,0.00078
10,human,22,War,0.00179,0.00176,3e-05
10,human,23,Defence,0.00154,0.00163,-9e-05
10,human,24,Foreign emergency,0.0,1e-05,-1e-05
10,human,25,Domestic emergency,0.00013,0.00019,-6e-05
10,human,26,Economy-general,0.0838,0.08382,-1e-05
10,human,27,Economy-personal,0.00038,0.00042,-3e-05
10,human,28,Unemployment,0.00641,0.00637,3e-05
10,human,29,Taxation,0.0009,0.00113,-0.00023
10,human,30,Debt/deficit,0.00602,0.00614,-0.00012
10,human,31,Inflation,0.00205,0.0017,0.00035
10,human,32,Living costs,0.0073,0.00846,-0.00116
10,human,33,Poverty,0.01333,0.01329,4e-05
10,human,34,Austerity,0.0082,0.00786,0.00034
10,human,35,Inequality,0.01781,0.01773,8e-05
10,human,36,Housing,0.02409,0.02383,0.00026
10,human,37,Social care,0.00103,0.00089,0.00014
10,human,38,Pensions/ageing,0.00243,0.00225,0.00018
10,human,39,Transport/infrastructure,0.00077,0.00052,0.00025
10,human,40,Environment,0.01858,0.01894,-0.00036
10,human,41,Pol values-auth,0.00064,0.00059,5e-05
10,human,42,Pol values-liberal,0.00525,0.00413,0.00112
10,human,43,Pol values-right,0.00038,0.0003,8e-05
10,human,44,Pol values-left,0.00192,0.0026,-0.00067
10,human,45,Other,0.00051,0.00033,0.00019
10,human,46,Uncoded,0.00461,0.0051,-0.00049
10,human,47,Referendum unspecified,0.0,0.00023,-0.00023
10,human,48,Coronavirus,0.0,0.0006,-0.0006
10,human,49,Covid-economy,0.0,0.00014,-0.00014
10,human,50,Gender/sexuality/family,0.00064,0.00057,7e-05
11,human,1,Health,0.10146,0.10081,0.00065
11,human,2,Education,0.00498,0.00508,-0.00011
11,human,3,Election outcome,0.04867,0.05015,-0.00148
11,human,4,Pol-neg,0.01966,0.01916,0.0005
11,human,5,Partisan-neg,0.02354,0.02217,0.00137
11,human,6,Societal divides,0.00316,0.0031,6e-05
11,human,7,Morals,0.00182,0.00175,7e-05
11,human,8,"Nat ident, goals-loss",0.00206,0.00256,-0.00049
11,human,9,Racism/discrimination,0.00194,0.00233,-0.00039
11,human,10,Welfare,0.00461,0.00549,-0.00088
11,human,11,Terrorism,0.04539,0.04526,0.00013
